numero,fecha,total_casos
1.0,13/03/2020,1
2.0,14/03/2020,0
3.0,15/03/2020,6
4.0,16/03/2020,0
5.0,17/03/2020,1
6.0,18/03/2020,3
7.0,19/03/2020,4
8.0,20/03/2020,5
9.0,21/03/2020,1
10.0,22/03/2020,3
11.0,24/03/2020,3
12.0,25/03/2020,4
13.0,26/03/2020,0
14.0,27/03/2020,6
15.0,28/03/2020,3
16.0,29/03/2020,3
17.0,30/03/2020,3
18.0,31/03/2020,6
19.0,1/04/2020,2
20.0,2/04/2020,6
21.0,3/04/2020,9
22.0,4/04/2020,2
23.0,5/04/2020,10
24.0,6/04/2020,5
25.0,7/04/2020,7
26.0,8/04/2020,40
27.0,9/04/2020,10
28.0,10/04/2020,6
29.0,11/04/2020,19
30.0,12/04/2020,9
31.0,13/04/2020,4
32.0,14/04/2020,8
33.0,15/04/2020,74
34.0,16/04/2020,19
35.0,17/04/2020,7
36.0,18/04/2020,3
37.0,19/04/2020,18
38.0,20/04/2020,13
39.0,21/04/2020,66
40.0,22/04/2020,41
41.0,23/04/2020,43
42.0,24/04/2020,12
43.0,25/04/2020,67
44.0,26/04/2020,17
45.0,27/04/2020,26
46.0,28/04/2020,21
47.0,29/04/2020,34
48.0,30/04/2020,31
49.0,1/05/2020,34
50.0,2/05/2020,6
51.0,3/05/2020,10
52.0,4/05/2020,38
53.0,5/05/2020,20
54.0,6/05/2020,42
55.0,7/05/2020,57
56.0,8/05/2020,28
57.0,9/05/2020,143
58.0,10/05/2020,49
59.0,11/05/2020,64
60.0,12/05/2020,79
61.0,13/05/2020,139
62.0,14/05/2020,175
63.0,15/05/2020,158
64.0,16/05/2020,106
65.0,17/05/2020,88
66.0,18/05/2020,155
67.0,19/05/2020,246
68.0,20/05/2020,211
69.0,21/05/2020,299
70.0,22/05/2020,426
71.0,23/05/2020,269
72.0,24/05/2020,339
73.0,25/05/2020,302
74.0,26/05/2020,259
75.0,27/05/2020,306
76.0,28/05/2020,269
77.0,29/05/2020,211
78.0,30/05/2020,299
79.0,31/05/2020,198
80.0,1/06/2020,280
81.0,2/06/2020,179
82.0,3/06/2020,265
83.0,4/06/2020,411
84.0,5/06/2020,397
85.0,6/06/2020,286
86.0,7/06/2020,318
87.0,8/06/2020,343
88.0,9/06/2020,364
89.0,10/06/2020,431
90.0,11/06/2020,218
91.0,12/06/2020,414
92.0,13/06/2020,96
93.0,14/06/2020,303
94.0,15/06/2020,555
95.0,16/06/2020,718
96.0,17/06/2020,551
97.0,18/06/2020,814
98.0,19/06/2020,486
99.0,20/06/2020,256
100.0,21/06/2020,418
101.0,22/06/2020,780
102.0,23/06/2020,778
103.0,24/06/2020,351
104.0,25/06/2020,1037
105.0,26/06/2020,671
106.0,27/06/2020,572
107.0,28/06/2020,466
108.0,29/06/2020,734
109.0,30/06/2020,984
110.0,1/07/2020,1138
111.0,2/07/2020,1299
112.0,3/07/2020,1330
113.0,4/07/2020,790
114.0,5/07/2020,700
115.0,6/07/2020,901
116.0,7/07/2020,674
117.0,8/07/2020,1236
118.0,9/07/2020,1003
119.0,10/07/2020,1008
120.0,11/07/2020,806
121.0,12/07/2020,408
122.0,13/07/2020,1220
123.0,14/07/2020,1261
124.0,15/07/2020,939
125.0,16/07/2020,1021
126.0,17/07/2020,1191
127.0,18/07/2020,666
128.0,19/07/2020,340
129.0,20/07/2020,1296
130.0,21/07/2020,1131
131.0,22/07/2020,1073
132.0,23/07/2020,1019
133.0,24/07/2020,1272
134.0,25/07/2020,638
135.0,26/07/2020,261
136.0,27/07/2020,1209
137.0,28/07/2020,1179
138.0,29/07/2020,1271
139.0,30/07/2020,1000
140.0,31/07/2020,1163
141.0,1/08/2020,358
142.0,2/08/2020,227
143.0,3/08/2020,788
144.0,4/08/2020,1143
145.0,5/08/2020,824
146.0,6/08/2020,943
147.0,7/08/2020,903
148.0,8/08/2020,420
149.0,9/08/2020,389
150.0,10/08/2020,996
151.0,11/08/2020,1151
152.0,12/08/2020,1233
153.0,13/08/2020,1144
154.0,14/08/2020,903
155.0,15/08/2020,337
156.0,16/08/2020,310
157.0,17/08/2020,909
158.0,18/08/2020,1043
159.0,19/08/2020,1124
160.0,20/08/2020,1052
161.0,21/08/2020,943
162.0,22/08/2020,331
163.0,23/08/2020,342
164.0,24/08/2020,1152
165.0,25/08/2020,1082
166.0,26/08/2020,1141
167.0,27/08/2020,1065
168.0,28/08/2020,749
169.0,29/08/2020,227
170.0,30/08/2020,166
171.0,31/08/2020,813
172.0,1/09/2020,724
173.0,2/09/2020,681
174.0,3/09/2020,670
175.0,4/09/2020,441
176.0,5/09/2020,189
177.0,6/09/2020,146
178.0,7/09/2020,821
179.0,8/09/2020,893
180.0,9/09/2020,680
181.0,10/09/2020,694
182.0,11/09/2020,625
183.0,12/09/2020,253
184.0,13/09/2020,256
185.0,14/09/2020,455
186.0,15/09/2020,243
187.0,16/09/2020,731
188.0,17/09/2020,724
189.0,18/09/2020,742
190.0,19/09/2020,289
191.0,20/09/2020,222
192.0,21/09/2020,896
193.0,22/09/2020,752
194.0,23/09/2020,449
195.0,24/09/2020,872
196.0,25/09/2020,796
197.0,26/09/2020,395
198.0,27/09/2020,162
199.0,28/09/2020,697
200.0,29/09/2020,790
